,XY_bool_coref,XY_bool_CoEnv,XY_bool_isArg,XY_6way_typing,Y_bucket_num_sent_muc1700,XY_5way_rolelabeling,Y_bucket_num_words_muc1700,Y_bucket_num_events_muc1700
X_GTT_Sent_layer_12_bert-uncased_epoch5_muc1700,0.6288032454361054,0.584703947368421,0.8945801072066706,0.7092084006462036,0.625,0.8929765886287625,0.55,0.725
X_GTT_Sent_layer_12_bert-uncased_epoch10_muc1700,0.718052738336714,0.5427631578947368,0.901131625967838,0.6478190630048465,0.585,0.8837792642140468,0.515,0.695
X_GTT_Sent_layer_12_bert-uncased_epoch15_muc1700,0.7045300878972278,0.6036184210526315,0.8951756998213222,0.6365105008077544,0.515,0.8745819397993311,0.585,0.695
X_GTT_Sent_layer_12_bert-uncased_epoch20_muc1700,0.6139283299526708,0.555921052631579,0.8856462179868969,0.6978998384491115,0.585,0.8787625418060201,0.54,0.67
X_GTT_layer_0_bert-uncased_epoch18_muc1700,0.6910074374577417,0.5830592105263158,0.821917808219178,0.5395799676898223,0.39,0.7909698996655519,0.585,0.6
X_GTT_layer_1_bert-uncased_epoch18_muc1700,0.6774847870182555,0.5978618421052632,0.8653960690887433,0.592891760904685,0.415,0.822742474916388,0.555,0.635
X_GTT_layer_2_bert-uncased_epoch18_muc1700,0.6781609195402298,0.5797697368421053,0.8725431804645623,0.630048465266559,0.42,0.8486622073578596,0.575,0.655
X_GTT_layer_3_bert-uncased_epoch18_muc1700,0.6626098715348209,0.5805921052631579,0.8737343656938654,0.6348949919224556,0.425,0.8503344481605352,0.56,0.635
X_GTT_layer_4_bert-uncased_epoch18_muc1700,0.684922244759973,0.5921052631578947,0.8648004764740918,0.6252019386106623,0.44,0.8553511705685619,0.505,0.665
X_GTT_layer_5_bert-uncased_epoch18_muc1700,0.7038539553752535,0.600328947368421,0.8689696247766527,0.6203554119547657,0.495,0.8612040133779264,0.53,0.67
X_GTT_layer_6_bert-uncased_epoch18_muc1700,0.6078431372549019,0.615953947368421,0.8648004764740918,0.6074313408723748,0.435,0.8687290969899666,0.48,0.66
X_GTT_layer_7_bert-uncased_epoch18_muc1700,0.6294793779580797,0.5789473684210527,0.8880285884455033,0.6122778675282714,0.475,0.8787625418060201,0.525,0.675
X_GTT_layer_8_bert-uncased_epoch18_muc1700,0.6511156186612576,0.5879934210526315,0.8832638475282907,0.6332794830371568,0.5,0.8795986622073578,0.52,0.68
X_GTT_layer_9_bert-uncased_epoch18_muc1700,0.6524678837052063,0.5970394736842105,0.8802858844550328,0.6672051696284329,0.45,0.8795986622073578,0.555,0.67
X_GTT_layer_10_bert-uncased_epoch18_muc1700,0.6490872210953347,0.5879934210526315,0.8749255509231686,0.6348949919224556,0.395,0.8637123745819398,0.545,0.68
X_GTT_layer_11_bert-uncased_epoch18_muc1700,0.658553076402975,0.6036184210526315,0.8749255509231686,0.630048465266559,0.425,0.8704013377926422,0.555,0.675
X_GTT_layer_12_bert-uncased_epoch5_muc1700,0.7376605814739688,0.5731907894736842,0.8939845145920191,0.6865912762520194,0.46,0.8854515050167224,0.52,0.68
X_GTT_layer_12_bert-uncased_epoch10_muc1700,0.6592292089249493,0.5789473684210527,0.8993448481238833,0.6203554119547657,0.44,0.8837792642140468,0.61,0.655
X_GTT_layer_12_bert-uncased_epoch15_muc1700,0.6605814739688979,0.6233552631578947,0.8802858844550328,0.691437802907916,0.545,0.8837792642140468,0.54,0.67
X_GTT_layer_12_bert-uncased_epoch18_muc1700,0.6977687626774848,0.6019736842105263,0.8779035139964264,0.6413570274636511,0.52,0.8704013377926422,0.525,0.67
X_GTT_layer_12_bert-uncased_epoch20_muc1700,0.6673427991886409,0.6085526315789473,0.8850506253722454,0.6332794830371568,0.5,0.8804347826086957,0.565,0.685
X_TANL_Sent_layer_12_t5-base_epoch5_muc1700,0.6318273769386379,0.5476190476190477,0.8994614003590664,0.5819935691318328,0.39,0.8777403035413154,0.365,0.66
X_TANL_Sent_layer_12_t5-base_epoch10_muc1700,0.650708024275118,0.5451559934318555,0.8946738479952124,0.5884244372990354,0.31,0.8735244519392917,0.33,0.66
X_TANL_Sent_layer_12_t5-base_epoch15_muc1700,0.6871207012811867,0.5114942528735632,0.881508078994614,0.590032154340836,0.41,0.8709949409780776,0.36,0.65
X_TANL_Sent_layer_12_t5-base_epoch20_muc1700,0.6534052596089008,0.5361247947454844,0.8868940754039497,0.6237942122186495,0.405,0.8819561551433389,0.37,0.66
X_TANL_layer_0_t5-base_epoch20_muc1700,0.7107215104517869,0.5394088669950738,0.8204667863554758,0.5273311897106109,0.17,0.7858347386172007,0.135,0.43
X_TANL_layer_1_t5-base_epoch20_muc1700,0.6965610249494268,0.5648604269293924,0.8438061041292639,0.5852090032154341,0.135,0.781618887015177,0.105,0.37
X_TANL_layer_2_t5-base_epoch20_muc1700,0.6163182737693864,0.5517241379310345,0.8683423099940155,0.5659163987138264,0.135,0.8052276559865092,0.105,0.37
X_TANL_layer_3_t5-base_epoch20_muc1700,0.6041807147673635,0.5238095238095238,0.8683423099940155,0.590032154340836,0.15,0.8288364249578415,0.165,0.395
X_TANL_layer_4_t5-base_epoch20_muc1700,0.6958867161159811,0.5377668308702791,0.8677438659485338,0.5305466237942122,0.135,0.815345699831366,0.105,0.37
X_TANL_layer_5_t5-base_epoch20_muc1700,0.6763317599460553,0.5435139573070608,0.8737283064033513,0.5787781350482315,0.135,0.8381112984822934,0.105,0.37
X_TANL_layer_6_t5-base_epoch20_muc1700,0.681726230613621,0.5270935960591133,0.874326750448833,0.5578778135048231,0.135,0.8448566610455311,0.105,0.37
X_TANL_layer_7_t5-base_epoch20_muc1700,0.7154416722859069,0.5164203612479474,0.8874925194494315,0.5627009646302251,0.135,0.8490725126475548,0.105,0.37
X_TANL_layer_8_t5-base_epoch20_muc1700,0.6345246122724207,0.5221674876847291,0.8928785158587672,0.6221864951768489,0.135,0.851602023608769,0.135,0.37
X_TANL_layer_9_t5-base_epoch20_muc1700,0.6898179366149697,0.5459770114942529,0.883901855176541,0.590032154340836,0.135,0.842327150084317,0.175,0.405
X_TANL_layer_10_t5-base_epoch20_muc1700,0.6372218476062036,0.5402298850574713,0.8821065230400957,0.6012861736334405,0.135,0.8642495784148398,0.105,0.37
X_TANL_layer_11_t5-base_epoch20_muc1700,0.6641942009440324,0.5229885057471264,0.8892878515858768,0.5627009646302251,0.135,0.8381112984822934,0.19,0.37
X_TANL_layer_12_t5-base_epoch5_muc1700,0.6850977747808497,0.6050903119868637,0.895870736086176,0.5868167202572347,0.425,0.8836424957841484,0.5,0.665
X_TANL_layer_12_t5-base_epoch10_muc1700,0.6756574511126096,0.5812807881773399,0.8928785158587672,0.5321543408360129,0.44,0.8718381112984823,0.58,0.645
X_TANL_layer_12_t5-base_epoch15_muc1700,0.6763317599460553,0.5591133004926109,0.8779174147217235,0.590032154340836,0.44,0.857504215851602,0.52,0.605
X_TANL_layer_12_t5-base_epoch20_muc1700,0.6392447741065408,0.5689655172413793,0.8803111909036505,0.6205787781350482,0.4,0.8785834738617201,0.525,0.62
X_dygie_full_epoch5,0.6617350369872226,0.5899919289749799,0.8925373134328358,0.7024922118380063,0.59,0.8630252100840337,0.66,0.665
X_dygie_full_epoch10,0.6832548755884331,0.5754640839386602,0.8859701492537313,0.7242990654205608,0.525,0.8521008403361344,0.575,0.67
X_dygie_full_epoch15,0.6119704102219233,0.5512510088781275,0.8704477611940299,0.632398753894081,0.51,0.8596638655462185,0.605,0.68
X_dygie_full_epoch20,0.6408876933422999,0.6020984665052461,0.866268656716418,0.7102803738317757,0.51,0.8554621848739495,0.615,0.645
X_dygie_sent_epoch5,0.7357094821788837,0.5125100887812752,0.8859701492537313,0.6308411214953271,0.6,0.873109243697479,0.625,0.7
X_dygie_sent_epoch10,0.7377269670477471,0.5286521388216303,0.8859701492537313,0.6713395638629284,0.54,0.8680672268907563,0.535,0.73
X_dygie_sent_epoch15,0.6926698049764627,0.5722356739305892,0.8811940298507462,0.6557632398753894,0.605,0.8630252100840337,0.595,0.67
X_dygie_sent_epoch20,0.710827168796234,0.5391444713478611,0.8734328358208955,0.721183800623053,0.615,0.8588235294117647,0.565,0.69
X_dygiepp_embedding-unpadded_bert-uncased_epoch21_muc1700,0.589778076664425,0.5657788539144472,0.8841791044776119,0.7523364485981309,0.57,0.8546218487394958,0.65,0.655
X_raw_layer_0_bert-uncased,0.632817753866846,0.5843422114608555,0.8342245989304813,0.5482866043613707,0.38,0.7949579831932773,0.675,0.625
X_raw_layer_1_bert-uncased,0.667787491593813,0.5875706214689266,0.8502673796791443,0.6152647975077882,0.42,0.819327731092437,0.645,0.58
X_raw_layer_2_bert-uncased,0.7182246133154001,0.5617433414043583,0.8651218062982768,0.6090342679127726,0.475,0.8504201680672269,0.635,0.57
X_raw_layer_3_bert-uncased,0.6772024209818427,0.5786924939467313,0.8781937017231135,0.6806853582554517,0.47,0.8613445378151261,0.725,0.685
X_raw_layer_4_bert-uncased,0.7410894418291862,0.606133979015335,0.8817587641117053,0.632398753894081,0.42,0.8647058823529412,0.715,0.645
X_raw_layer_5_bert-uncased,0.7511768661735037,0.5867635189669088,0.8799762329174093,0.6401869158878505,0.39,0.8747899159663866,0.65,0.65
X_raw_layer_6_bert-uncased,0.7747141896435776,0.5940274414850686,0.8758169934640523,0.6588785046728972,0.52,0.8722689075630252,0.69,0.65
X_raw_layer_7_bert-uncased,0.7135171486213854,0.6037126715092817,0.8799762329174093,0.6448598130841121,0.435,0.8831932773109243,0.675,0.635
X_raw_layer_8_bert-uncased,0.7377269670477471,0.5552865213882163,0.8775995246583482,0.6728971962616822,0.44,0.8672268907563025,0.695,0.57
X_raw_layer_9_bert-uncased,0.6395427034297243,0.5649717514124294,0.8793820558526441,0.6947040498442367,0.48,0.8621848739495799,0.695,0.595
X_raw_layer_10_bert-uncased,0.7370544720914594,0.5875706214689266,0.8799762329174093,0.6947040498442367,0.44,0.8697478991596639,0.655,0.555
X_raw_layer_11_bert-uncased,0.7175521183591123,0.576271186440678,0.8823529411764706,0.6947040498442367,0.46,0.8705882352941177,0.715,0.605
X_raw_layer_12_bert-uncased,0.7572293207800942,0.6037126715092817,0.8775995246583482,0.7398753894080997,0.45,0.8605042016806723,0.655,0.635
